sent_monotonic,phase,rtt_ms,status
74.406734474,baseline,0.14506699999117245,pass
74.412018014,baseline,0.06022000000882599,pass
74.417185569,baseline,0.05612399999677109,pass
74.422351483,baseline,0.053519999994477985,pass
74.427503145,baseline,0.04772100000138835,pass
74.43265715,baseline,0.06998499999610885,pass
74.437829484,baseline,0.06079099999567461,pass
74.442993565,baseline,0.07469100000889739,pass
74.448189553,baseline,0.07819699999345175,pass
74.453406092,baseline,0.07811700000104338,pass
74.458622872,baseline,0.07804599999872153,pass
74.463851239,baseline,0.07363000000282227,pass
74.469064924,baseline,0.08223300000054223,pass
74.474288474,baseline,0.07809699999938857,pass
74.479511032,baseline,0.0812919999901851,pass
74.484742374,baseline,0.08353499998747793,pass
74.489975417,baseline,0.09091600000488143,pass
74.495212187,baseline,0.08027999999171698,pass
74.500432862,baseline,0.08040100000528128,pass
74.505657263,baseline,0.07956000000319818,pass
74.51087216,baseline,0.07446200000060799,pass
74.51608958,baseline,0.07164800000225569,pass
74.521296005,baseline,0.07482200000197281,pass
74.526506735,baseline,0.07704600000124628,pass
74.531719749,baseline,0.07699599999000384,pass
74.536935598,baseline,0.07957900000121754,pass
74.542155633,baseline,0.07740500001318651,pass
74.547373082,baseline,0.07555400000569534,pass
74.552586517,baseline,0.08026000000427302,pass
74.557806722,baseline,0.0783170000033806,pass
74.563040087,baseline,0.08359499999244235,pass
74.568299731,baseline,0.14352499999858992,pass
74.573575408,baseline,0.0958840000038208,pass
74.578782063,baseline,0.0909059999969486,pass
74.583983289,baseline,0.1063489999921785,pass
74.589238046,baseline,0.10878199999808658,pass
74.59448494,baseline,0.10864300000434923,pass
74.599727609,baseline,0.10307399999476274,pass
74.60496504,baseline,0.09151700000131768,pass
74.610192024,baseline,0.10206299999993007,pass
74.615428824,baseline,0.10299399998814351,pass
74.620670551,baseline,0.10411600000281851,pass
74.625911536,baseline,0.11379099998976017,pass
74.63116458,baseline,0.10443699999029832,pass
74.636385947,baseline,0.0718480000045929,pass
74.641601205,baseline,0.07658399999854737,pass
74.646800668,baseline,0.07765700000561537,pass
74.651997618,baseline,0.08463700000049812,pass
74.657189931,baseline,0.05877799999609579,pass
74.662353151,baseline,0.05148699999324435,pass
74.667512845,baseline,0.05766599998935362,pass
74.672675183,baseline,0.05288900000266494,pass
74.677824542,baseline,0.048571999997193416,pass
74.683028863,baseline,0.061031000001321445,pass
74.688222016,baseline,0.05317000000104599,pass
74.693410033,baseline,0.0581669999917267,pass
74.698602557,baseline,0.05782600000259208,pass
74.703799116,baseline,0.058608000003346206,pass
74.708994714,baseline,0.0804299999970226,pass
74.714198114,baseline,0.0659380000058718,pass
74.719393591,baseline,0.067451000006713,pass
74.724575068,baseline,0.06049100001348506,pass
74.729747842,baseline,0.06511300000511255,pass
74.734930996,baseline,0.0835550000033436,pass
74.740125823,baseline,0.07071599999619593,pass
74.745339338,baseline,0.08469700000546254,pass
74.750567144,baseline,0.07890799999188403,pass
74.755789432,baseline,0.07710500000257525,pass
74.761022115,baseline,0.07553300000040508,pass
74.766233267,baseline,0.07316899998954796,pass
74.771430587,baseline,0.0820479999958934,pass
74.776626631,baseline,0.06023000000254797,pass
74.781788157,baseline,0.0489530000038485,pass
74.786938527,baseline,0.05015600000035647,pass
74.792087566,baseline,0.05235799999070423,pass
74.797238257,baseline,0.05158700000151839,pass
74.802429598,baseline,0.10066099999050948,pass
74.807670343,baseline,0.10047099999610509,pass
74.812910508,baseline,0.13560300000392544,pass
74.818193527,baseline,0.11363000000130796,pass
74.823456115,baseline,0.11503300000015315,pass
74.828719124,baseline,0.10994499999128493,pass
74.833976704,baseline,0.11872800000389816,pass
74.839239974,baseline,0.10582800000236148,pass
74.844486899,baseline,0.10657899998989251,pass
74.849742957,baseline,0.10273399999505273,pass
74.854984875,baseline,0.1203599999968219,pass
74.860240453,baseline,0.10757100000091668,pass
74.8654825,baseline,0.10256299999866769,pass
